K,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
2,0.1972,35368.07,1.5921
3,0.2136,29526.99,1.9542
4,0.2147,24802.1,1.9494
5,0.2192,20253.62,2.1558
6,0.2432,18810.2,1.8292
